brand,city,store,address,Latitude,Longitude,telephone,openhour
연돈볼카츠,서울특별시,이마트용산점,"서울 용산구 한강대로23길 55 (한강로3가, 용산역) 지하2층 이마트용산점 內",37.5294444,126.9655556,미등록,10:00 ~21:00(브레이크타임 13:30~15:00)
빽다방,서울특별시,잠실레이크팰리스점,서울 송파구 석촌호수로 144,37.5069053,127.0929785,070-8287-1231,08:00 ~ 22:00
빽보이피자,서울특별시,노원역점,"서울 노원구 상계로1길 14-11 (상계동, 하이웰빙상가) 하이웰빙상가 1층",37.6570179,127.0617489,포장 주문 번호 1668-1931,11:00 ~ 22:00
빽다방,서울특별시,이태원경리단길점,서울 용산구 회나무로13길 5,37.5394814,126.9892703,070-4070-6616,10:00 ~ 21:00
제순식당,서울특별시,연세대SK국제학사점,"서울 서대문구 연세로 50 연세대학교 신촌캠퍼스 SK국제학사, B2층",37.565784,126.938572,-,11:00 ~ 19:00
백스비어,서울특별시,구파발역점,"서울 은평구 진관3로 11, 제101동 제1층 제101호(진광동, 은평뉴타운 힐데스하임)",37.6387556,126.9185829,070-4833-2725,17:00~01:00
인생설렁탕,서울특별시,연세대SK국제학사점,"서울특별시 서대문구 연세로 50, 지하 2층",37.564089,126.9389809,미등록,10:00 ~ 19:00 / 브레이크 타임 14:30 ~ 15:30
빽보이피자,서울특별시,신논현역점,서울 서초구 반포동 738-43 1층,37.504794,127.0226881,포장 주문 번호 1668-3791,11:00 ~ 21:00
한신포차,서울특별시,공릉점,서울 노원구 섬밭로 19 1층 102호,37.6183422999999,127.0722735,070-4060-5482,평일 16시 ~ 01시 / 주말 15시 ~ 01시
빽다방,서울특별시,삼양시장점,서울 강북구 미아동 867-118,37.624833,127.0180045,070-4027-3328,08:00 ~ 22:00
빽다방,대구광역시,대구범물시티월드점,대구 수성구 지범로 183,35.8215938,128.6397036,0507-1477-0290,08:00 ~ 22:00
빽다방,서울특별시,장안현대홈타운점,"서울 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) 1층 109호",37.5665923,127.0724194,070-4833-1311,08:00 ~ 22:00
빽보이피자,서울특별시,위례점,서울 송파구 장지동 894 5동 107호,37.4773867,127.1285282,포장 주문 번호 1668-3249,11:00 ~ 22:00
빽다방,서울특별시,가좌역점,"서울 서대문구 수색로2길 39 (남가좌동, DMC금호리첸시아) 1층 106호",37.5706919,126.9157882,-,8:00 ~ 21:00
빽다방,서울특별시,목동41타워점,"서울시 양천구 목동동로 293, 1층 1-10호(목동, 현대41타워)",37.5281527,126.8757457,02-2644-7140,평일 07:30 ~ 22:00주말 08:30 ~ 22:00
빽다방,서울특별시,논현영동시장점,서울 강남구 논현동 164-11(강남대로 506) 1층 109호,37.5074236,127.023501,070-4035-3183,평일 08:00 ~ 22:00주말 09:30 ~ 22:00
빽다방,서울특별시,천호힐데스하임점,"서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8, 9호",37.541855,127.1260788,02-470-1651,08:00 ~ 21:00
역전우동0410,서울특별시,고대안암점,서울특별시 성북구 안암동5가 94-2 1층,37.5861172,127.0305073,02-765-0054,11:00 ~ 22:00
연돈볼카츠,부산광역시,부산화명역점,부산 북구 화명동 2272-3,35.235425,129.012042,070-8691-1940,11:00 ~ 22:00(라스트오더)
인생설렁탕,서울특별시,당산점,서울 영등포구 당산로41길 11 SK V1 센터 내 117호,37.5308096,126.8983384,070-4647-1430,11:00 ~ 22:00
빽보이피자,서울특별시,수유점,서울 강북구 번동 446-47 1층,37.6375467,127.0259621,포장 주문 번호 1668-1363,11:00 ~ 21:00
,서울특별시,남구로점,서울 구로구 구로동 1280 1층,37.4885326,126.8906507,포장 주문 번호 1668-4014,11:00 ~ 21:00
빽다방,서울특별시,빽다방 빵연구소 연세대SK국제학사점,신촌동 134 (연세로 50) 연세대학교 신촌캠퍼스 sk국제학사 지하2층,37.564089,126.9389809,02-393-2238,08:00 ~ 18:00
빽다방,서울특별시,등촌성당점,"서울시 강서구 공항대로 41길 51, 1층 101호, 102호",37.5601978,126.8457639,02-3663-4067,평일 08:00 ~ 21:30주말 08:30 ~ 21:30
백스비어,서울특별시,상일점,서울특별시 강동구 상일로 17 1층,37.5485986,127.172972,-,17:00 ~ 02:00
빽보이피자,서울특별시,고대안암점,"서울 성북구 고려대로24길 58-5 (안암동5가, 고려안암빌딩) 2층",37.5861565,127.0309144,포장 주문 번호 1668-1490,11:00 ~ 21:00
